abstract_id,dups
690983,{'university of north dakota': 12}
690285,"{'universidad de carabobo': 6, 'universidad san francisco de quito': 12}"
689623,"{'indian institute of technology  bombay': 12, 'indian institute of technology bombay': 18}"
693016,"{'the university of texas at austin': 30, 'the university of texas at tyler': 6, 'brown university': 24}"
693805,{'reservoir engineering research institute': 12}
685179,"{'indian institute of technology kharagpur': 30, 'process consultant': 6}"
683467,"{'the university of tulsa': 12, 'university of tulsa': 6}"
683842,{'imperial college london': 6}
689976,{'tulane university': 18}
691466,"{'university of pittsburgh': 12, 'oak ridge institure of science and education': 6, 'national energy technology laboratory': 12, 'leidos research support team': 6}"
685550,"{'kuwait oil company': 12, 'kuwait university': 12}"
686395,"{'king fahd university of petroleum and minerals': 18, 'kfupm': 6, 'saudi aramco': 12}"
693745,"{'reservoir engineering research institute': 4, 'reri': 2}"
684611,{'the university of tulsa': 4}
684615,"{'texas aandm university - kingsville': 2, 'texas aandm university-kingsville': 4}"
686354,"{'zhejiang university': 10, 'tianjin university': 2, 'ningbo tech university': 2}"
691038,{'utah state university': 4}
685560,{'saudi aramco oil company': 6}
682367,{'university of calgary': 2}
701365,{'not found': 2}
688791,{'the ohio state university': 12}
690844,{'pennsylvania state university': 12}
692181,{'national renewable energy laboratory': 8}
691499,{'massachusetts institute of technology': 16}
688921,"{'university of kansas': 4, 'the university of kansas': 8}"
700656,{'not found': 4}
689823,{'michigan technological university': 24}
689951,"{'netl support contractor': 8, 'national energy technology laboratory': 24}"
691843,{'university of utah': 8}
701370,{'not found': 56}
701374,{'not found': 56}
701373,"{'mars  inc': 54, 'orbillion bio  inc': 56, 'twelve': 56, 'hax': 56, '': 2}"
690540,"{'argonne national laboratory': 20, 'oak ridge national laboratory': 4, 'national renewable energy laboratory': 8}"
689229,{'iowa state university': 12}
691359,"{'aspen technology  inc': 20, 'aspen technology inc': 8}"
686938,"{'process systems engineering   rwth aachen university': 4, 'jara-energy': 4, 'ku leuven': 4}"
686878,"{'tonkomo llc': 8, 'washington state university': 4, 'nexceris': 8, 'karlsruhe institute of technology': 12}"
687046,"{'division of energy and environment technology  kist school  university of science and technology': 4, 'korea institute of science and technology': 8}"
691292,"{'utah state university': 4, 'university of sfax': 2}"
691614,"{'stevens institute of technology': 2, 'new jersey center for microchemical systems  stevens institute of technology': 2}"
694010,{'purdue university': 4}
694041,{'purdue university': 4}
689382,{'university of texas at tyler': 4}
689487,{'university of texas at tyler': 4}
688639,{'university of texas at tyler': 4}
687594,"{'west virginia university': 6, 'netl support contractor': 4, 'national energy technology laboratory': 2}"
687761,"{'worcester polytechnic institute': 8, 'bath university': 2}"
690086,"{'saudi aramco': 4, 'sabic': 4}"
687730,{'pacific northwest national laboratory': 14}
686020,{'kbc advanced technologies inc': 4}
683457,"{'national energy technology laboratory': 6, 'netl support contractor': 2, 'university of pittsburgh': 4}"
