affil_norm,suggested_loc_key,score,geocoded_label
abbvie inc,abbvie,0.75,AbbVie
abu dhabi ports,abu dhabi university,0.6857142857142857,Abu Dhabi University
advanced cooling technologies  inc,aspen technology inc.,0.5818181818181818,Aspen Technology Inc.
advanced energy materials,lubrizol advanced materials,0.6923076923076923,Lubrizol Advanced Materials
afton chemical corporation,eaton corporation,0.7441860465116279,Eaton Corporation
afton chemical corporation,national chemical laboratory,0.7037037037037037,National Chemical Laboratory
afton chemical corporation,dow chemical company,0.6956521739130435,Dow Chemical Company
afton chemical corporation,evonik corporation,0.6818181818181818,Evonik Corporation
afton chemical corporation,the dow chemical company,0.68,The Dow Chemical Company
agency for defence development,ministry of development,0.6037735849056604,Ministry of Development
agency for science  technology and research,university of science and technology of china,0.6363636363636364,University of Science and Technology of China
agency for science  technology and research,university of science and technology,0.6075949367088608,University of Science and Technology
agilent technologies,aspen technology inc.,0.6829268292682927,Aspen Technology Inc.
agilent technologies,freeman technology,0.631578947368421,Freeman Technology
agilent technologies,em ai technology,0.6666666666666666,EM AI Technology
ahmedabad univeristy,harvard university,0.6842105263157895,Harvard University
ahmedabad univeristy,lamar university,0.7222222222222222,Lamar University
ahmedabad univeristy,lakehead university,0.7692307692307693,Lakehead University
ahmedabad univeristy,inha university,0.6285714285714286,Inha University
ahmedabad univeristy,oakland university,0.6842105263157895,Oakland University
air force research laboratory,army research lab,0.6521739130434783,Army Research Lab
air force research laboratory,national renewable energy laboratory,0.6153846153846154,National Renewable Energy Laboratory
air products and chemicals,air products,0.631578947368421,Air Products
aix marseille university,lamar university,0.75,Lamar University
aix marseille university,mcgill university,0.7317073170731707,McGill University
aix marseille university,aarhus university,0.7317073170731707,Aarhus University
aix marseille university,cornell university,0.7142857142857143,Cornell University
aix marseille university,trine university,0.65,Trine University
alexandria university,oakland university,0.8205128205128205,Oakland University
alexandria university,lund university,0.7777777777777778,Lund University
alexandria university,khalifa university,0.7692307692307693,Khalifa University
alexandria university,indiana university,0.717948717948718,Indiana University
alexandria university,andrews university,0.7692307692307693,Andrews University
alma mater studiorum - university of bologna,university of bologna,0.6461538461538462,University of Bologna
alma mater studiorum - university of bologna,hamburg university of technology,0.5789473684210527,Hamburg University of Technology
amgen research  gmbh,army research lab,0.7027027027027027,Army Research Lab
amgen research  gmbh,ibm research uk,0.6285714285714286,IBM Research UK
amgen research  gmbh,chevron research,0.6111111111111112,Chevron Research
amgen research  gmbh,nasa glenn research center,0.6086956521739131,NASA Glenn Research Center
amgen research munich,ibm research uk,0.6666666666666666,IBM Research UK
amgen research munich,nasa glenn research center,0.6382978723404256,NASA Glenn Research Center
amgen research munich,army research lab,0.631578947368421,Army Research Lab
amofor gmbh,evon gmbh,0.6,evon GmbH
andlinger center for energy and the environment,national institute for public health and the environment,0.6407766990291263,National Institute for Public Health and the Environment
ankara university,qatar university,0.8484848484848485,Qatar University
ankara university,lamar university,0.8484848484848485,Lamar University
ankara university,korea university,0.8484848484848485,Korea University
ankara university,naresuan university,0.7222222222222222,Naresuan University
ankara university,yantai university,0.8235294117647058,Yantai University
ansys,avnos,0.6,Avnos
ansys,ansto,0.6,ANSTO
ansys inc,css inc,0.75,CSS Inc
ansys inc,"mars, inc.",0.631578947368421,"Mars, Inc."
ansys inc,mayo clinic,0.6,Mayo Clinic
ansys inc,"amgen, inc.",0.6,"Amgen, Inc."
anton paar gmbh,anton paar,0.8,Anton Paar
aopia biosciences  inc,physical sciences inc.,0.6363636363636364,Physical Sciences Inc.
aramco americas,braskem america,0.7333333333333333,Braskem America
argonne national labs,argonne national laboratory,0.8333333333333334,Argonne National Laboratory
argonne national labs,national lab,0.7272727272727273,National Lab
argonne national labs,sandia national laboratories,0.6530612244897959,Sandia National Laboratories
argonne national labs,idaho national laboratory,0.6521739130434783,Idaho National Laboratory
argonne national labs,brookhaven national laboratory,0.5882352941176471,Brookhaven National Laboratory
army research laboratory,army research lab,0.8292682926829268,Army Research Lab
army research laboratory,oak ridge national laboratory,0.6037735849056604,Oak Ridge National Laboratory
army research laboratory,national renewable energy laboratory,0.6,National Renewable Energy Laboratory
asu,fau,0.6666666666666666,FAU
avnos  inc,avnos,0.6666666666666666,Avnos
avnos  inc,"mars, inc.",0.6,"Mars, Inc."
