location,merged_location_names,latitude,longitude,count,address
Harvard University,"MIT; Tufts University; Harvard University; Northeastern University; Boston University; Broad Institute; University of Massachusetts; Bentley University; Koch Institute for Integrative Cancer Research; Brigham and Women's Hospital; Takeda Pharmaceuticals; Google; Mitsubishi Electric Research Laboratories; Dana-Farber Cancer Institute; Beth Israel Deaconess Medical Center, Boston; Massachusetts General Hospital; Whitehead Institute",42.364657,-71.11147818571428,714,"76 Koch Institute, 500, Main Street, The Port, Cambridge, Middlesex County, Massachusetts, 02142, United States, Bentley University, 175, Forest Street, Eastview Park, Waltham, Middlesex County, Massachusetts, 02452, United States, Beth Israel Deaconess Medical Center East Campus, 330, Brookline Avenue, Longwood Medical and Academic Area, Boston, Suffolk County, Massachusetts, 02215, United States, Boston University, Saint Mary's Street, North Brookline, Boston, Norfolk County, Massachusetts, 02215, United States, Brigham and Women's Hospital, 75, Francis Street, Longwood Medical and Academic Area, Boston, Suffolk County, Massachusetts, 02115, United States, Broad Institute, 320, Charles Street, East Cambridge, Cambridge, Middlesex County, Massachusetts, 02141, United States, Dana-Farber Cancer Institute, 450, Brookline Avenue, Longwood Medical and Academic Area, Boston, Suffolk County, Massachusetts, 02215, United States, Google Store, 153, Newbury Street, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States, Harvard Medical School, 25, Shattuck Street, Longwood Medical and Academic Area, Boston, Suffolk County, Massachusetts, 02115, United States, Harvard Pu Science College Muddebihal, SH41, Muddebihala, Muddebihala taluku, Vijayapura, Karnataka, 586212, India, Harvard University, Carver Street, Baldwin, Cambridge, Middlesex County, Massachusetts, 02318, United States, Massachusetts General Hospital, 55, Fruit Street, West End, Boston, Suffolk County, Massachusetts, 02114, United States, Massachusetts Institute of Technology, Vassar Street, The Port, Cambridge, Middlesex County, Massachusetts, 02238, United States, Mitsubishi Electric Research Laboratories, 201, Broadway, Harlow Square, Cambridge, Middlesex County, Massachusetts, 02139, United States, Northeastern University, 360, Huntington Avenue, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States, Takeda Pharmaceuticals, Lexington, Middlesex County, Massachusetts, United States, Tufts University, Burget Avenue, Medford Hillside, West Medford, Medford, Middlesex County, Massachusetts, 02144, United States, Whitehead Institute, 455, Main Street, The Port, Cambridge, Middlesex County, Massachusetts, 02142, United States"
Stanford University,retired; Stanford University; SLAC National Accelerator Laboratory; Toyota Research Institute; Ansys Inc; Ansys Inc.; NASA Ames Research Center; Citrine Informatics,37.41550242,-122.09825894000001,443,"Ames Research Center, Bayshore Freeway, Mountain View, Santa Clara County, California, 94043, United States, Ansys, Inc., 2645, Zanker Road, North San Jose, San Jose, Santa Clara County, California, 95134, United States, Citrine Informatics, Winklebleck Street, Redwood City, San Mateo County, California, 94063, United States, Stanford Linear Accelerator Center National Accelerator Laboratory, 2575, Sand Hill Road, Menlo Park, San Mateo County, California, 94025, United States, Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States, Stanford, Santa Clara County, California, United States, Toyota Research Institute, 4440, West El Camino Real, Los Altos, Santa Clara County, California, 94022, United States, retired baseball field, Sunnyvale, Santa Clara County, California, United States"
Texas A&M University,Texas A&M University; Texas A&M; Texas A & M University,30.6108618,-96.3520606,361,"Texas A&M University, 400, Bizzell Street, The Gardens Apartments, College Station, Brazos County, Texas, 77843, United States"
The Ohio State University,The Ohio State University; Ohio State University,40.0056802,-83.0286612,336,"The Ohio State University, 281, West Lane Avenue, University District District 2, Columbus, Sharon, Franklin County, Ohio, 43210, United States"
Purdue University,Purdue University; Purdue university,40.430028,-86.9264211,324,"Purdue University, 610, West Lafayette, Tippecanoe County, Indiana, 47907, United States"
University of Houston,Rice University; University of Houston; MD Anderson Cancer Center,29.715084,-95.38222913333334,303,"Rice University, 6100, Main Street, Houston, Harris County, Texas, 77005, United States, University of Houston, 4800, Calhoun Road, University Oaks, Houston, Harris County, Texas, 77004, United States, University of Texas MD Anderson Cancer Center, 1515, Holcombe Boulevard, Texas Medical Center, Houston, Harris County, Texas, 77030, United States"
Duquesne University,University of Pittsburgh; Carnegie Mellon University; Duquesne University,40.44162456666667,-79.96522063333333,296,"Carnegie Mellon University, Filmore Street, Bellefield, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States, Duquesne University, Gibbon Street, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15282, United States, University of Pittsburgh, 4200, Fifth Avenue, Fifth & Forbes, Downtown, Pittsburgh, Allegheny County, Pennsylvania, 15260, United States"
Imperial College London,"Imperial College London; University College London; University College Hospital; Vertex Pharmaceuticals; University College London (UCL); UCL School of Pharmacy; Chevron; UCL (University College London); Imperial College London, South Kensington",51.51618432222222,-0.13545365555555555,278,"Chevron, 1, Westferry Circus, Canary Wharf, London Borough of Tower Hamlets, London, Greater London, England, E14 4HA, United Kingdom, Imperial College London, Exhibition Road, Knightsbridge, London, Greater London, England, SW7 2AZ, United Kingdom, Imperial College Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 2AD, United Kingdom, UCL School of Pharmacy, 29-39, Brunswick Square, Gray's Inn, King's Cross, London Borough of Camden, London, Greater London, England, WC1N 1AX, United Kingdom, University College Hospital, 235, Euston Road, Fitzrovia, London Borough of Camden, London, Greater London, England, NW1 2BU, United Kingdom, University College London, Great Titchfield Street, East Marylebone, Fitzrovia, Camden Town, London, Greater London, England, W1W 6RY, United Kingdom, Vertex Pharmaceuticals (U.K.) Limited, 2, Kingdom Street, Westbourne Green, Paddington, London, Greater London, England, W2 6PY, United Kingdom"
University of Michigan,University of Michigan; University of Michigan Ann Arbor,42.2942142,-83.7100389,277,"University of Michigan, 500, South State Street, Old Fourth Ward, Ann Arbor, Washtenaw County, Michigan, 48109, United States"
Georgia Institute of Technology,Georgia Institute of Technology; Clark Atlanta University; Georgia State University; georgia institute of technology; Georgia Tech,33.7663996,-84.3986866,262,"Clark Atlanta University, Raymond Street Southwest, Atlanta University Center, Atlanta, Fulton County, Georgia, 30314, United States, Georgia State University, 33, Gilmer Street Southeast, Georgia State, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30303, United States, Georgia Tech, Center Street, Home Park, Atlanta, Fulton County, Georgia, 30332, United States"
