mapped,count,label,latitude,longitude,top_authors
not found,838,not found,,,Not found
massachusetts institute of technology,580,massachusetts institute of technology,,,William Green; Jiale Shi; Jonathan Zheng; Chao-Lun Mai; Gregory Stephanopoulos
purdue university,358,Purdue University,40.430028,-86.9264211,Sana Khanum; David E. Bernal Neira; Shuaikang Du; Montgomery Laky; Yash Barhate
texas aandm university,356,Texas A&M University,30.6108618,-96.3520606,Shayan Niknezhad; Ahmed Badreldin; Chi-Ho Lee; Yashwanth Arcot; Dinesh Sundaravadivelu Devarajan
georgia institute of technology,346,Georgia Institute of Technology,33.7663996,-84.3986866,Pankaj Rohilla; Ravindra Kane; Akriti Sarswat; Julie Champion; Marta Hatzell
university of michigan,288,University of Michigan,42.2942142,-83.7100389,Omolola Eniola-Adefeso; Zhiqiang Shen; Nicholas Kotov; Vallabh Vasudevan; Rebecca Lindsey
stanford university,274,Stanford University,37.41550242,-122.09825894,Dorothy Mantle; Jonathan Fan; Ezgi Erdem; Michael Burroughs; Gang Wan
the ohio state university,272,The Ohio State University,40.0056802,-83.0286612,Tanay Jawdekar; Venkata Rohit Punyapu; Sudeshna Gun; Shekhar Shinde; Akshay Kudva
imperial college london,234,Imperial College London,51.51618432222222,-0.1354536555555555,Shakeel Ramjanee; Andrea Galeazzi; Deniz Etit; Haiting Wang; Paola Alejandra Saenz Cavazos
princeton university,224,Princeton University,40.34418525,-74.65905155,Shengli Jiang; Samuel C. Moore; Yiteng Zheng; Yaguang Zhu; Ka-Hei Siu
university of california los angeles,220,University of California Los Angeles,34.05998905,-118.4310129,Zisheng Zhang; Alaina Levine; Avishek Banerjee; Xintong Yuan; Ning Zhang
university of alabama,214,University of Alabama,33.2136006,-87.54399920000002,Atta Ur Razzaq; Feranmi Olowookere; Medha Kasula; Tristan Maxson; Ashish Srivastava
university of houston,212,University of Houston,29.715084,-95.38222913333334,Zhiyin Niu; Dipayan Chakraborty; Kumari Shilpa; Chenfeng Huang; Muhammad Fiji Firdaus
north carolina state university,206,North Carolina State University,35.763836575,-78.674785875,Sina Jamalzadegan; Kunran Yang; Abhirup Basu; Michael Bergman; Seyedamin Razavi
northwestern university,206,Northwestern University,42.02743245,-87.66633245,Rong Xia; Subhajyoti Chaudhuri; Filip Formalik; Milad Ahmadi Khoshooei; Geunho Han
carnegie mellon university,198,carnegie mellon university,,,Ignacio Grossmann; Janghoon Ock; Mehul Bapat; Seolhee Cho; Wui Yarn Daphne Chan
west virginia university,184,West Virginia University,39.6348397,-79.9542095,Stephen Summits; Poulomi Das; Nishant Vinayak Giridhar; Austin Braniff; Vivek Saini
pennsylvania state university,184,Pennsylvania State University,40.8025835,-77.8559383,"Roya Koshani; Joseph Cotruvo, Jr.; Adam Smerigan; Amir Sheikhi; Hee Jeung Oh"
university of delaware,172,University of Delaware,39.6803338,-75.7530749,LaShanda Korley; Alex Balzer; Ali Kamali; Aida López Ruiz; George Yan
university of colorado boulder,172,University of Colorado Boulder,40.00720174,-105.26747228,Anni Shi; Nathanael Schwindt; Hussain Almajed; Georgios Tseropoulos; Monica Ohnsorg
university of minnesota twin cities,158,University of Minnesota Twin Cities,44.98228161428572,-93.1951990857143,Koushik Sampath; Anubhav Sarmah; Jonathan Coote; Seongjoo Jung; Jnana Sai Jagana
university of notre dame,156,University of Notre dame,41.701515725,-86.23799269999999,Daniel Laky; Madelynn Watson; Barnabas Agbodekhe; Alexander Dowling; Tiger Shi
university of texas at austin,154,University of Texas at Austin,30.2851494,-97.7339352,Gabriel Sanoja; Rachel Huang; Mariam Balogun; Woo Je Chang; Ilias Mitrai
university of kansas,152,University of Kansas,38.9535052,-95.2630922,Abdulrhman Arishi; Kayla Foley; Andrew Yancey-Jardon; Estephanie Nottar Escobar; Chidambaram Thamaraiselvan
"university of pittsburgh, johnstown",150,"University of Pittsburgh, Johnstown",40.2667709,-78.8278635,Priyanka Bholanath Shukla; Yihan Song; Siddarth Achar; Aaditya Hari Bharanidharan; Remsha Rafiq
iowa state university,142,Iowa State University,42.033054325,-93.62842245,Deep M. Patel; Zahra Ebrahimpourboura; Manish Mosalpuri; Yue Wu; Vy T. Nguyen
auburn university,142,Auburn University,32.5919528,-85.4959775,Q. Peter He; Loyal Murphy; Atefe Alimirzaei; Hyeju Song; Adam Bachmann
university of illinois chicago,138,University of Illinois Chicago,41.83216106666666,-87.62530033333333,Rajan Bhawnani; Rohan Sartape; Ishita Goyal; Prem Podupu; Rohit Chauhan
university of florida,136,University of Florida,29.6411884,-82.3562296,Omar Boloki; Taofeek Tejuosho; Mohammed Al Otmi; Yinhao Jia; Shengji Zhang
"university of wisconsin-madison, madison",136,"University of Wisconsin-Madison, Madison",43.07970709,-89.43061513,Unni Kurumbail; Victor M. Zavala; Jiayang Wu; Marcel Schreier; Manish Kumar
university of connecticut,126,University of Connecticut,41.8111114,-72.2483889,Nicole Beauregard; Seulki Han; Amir Shahbazi; Niloofar Zolfigol; Leila Sharifi
trine university,126,Trine University,41.6311141,-85.0105982,Sarah Adaryan; Haotian Wang; Thiago Jose Pinheiro Dos Santos; Tae-Ung Wi; Yunke Liu
national university of singapore,122,National University of Singapore,1.2966282999999998,103.77749186,Chi-Hwa Wang; Wenlong Wang; Andrew Wong; Vikas Dhamu; Xiaoyu Wu
university of chicago,120,university of chicago,,,Andrew Ferguson; Ritesh Kumar; Christopher Arges; Joan Montes de Oca; Antonio Tavera-Vazquez
florida institute of technology,120,Florida Institute of Technology,28.064271,-80.623004,Tridip Das; Evan Miu; Yan Zhang; Swarna Saha; Laura Fronchetti Guidugli
university of oklahoma,120,University of Oklahoma,35.1959878,-97.4457083,Laura Alejandra Gomez Gomez; Jacob Crouch; Hesham Aboukeila; Sarah Onyembe; Mostafa Tabatabaei
university of california san diego,116,University of California San Diego,32.87783769999999,-117.22710246666666,Benjamin Lam; Jacob Schimelman; Tamoghna Saha; Granton Jindal; Adam Feist
pacific northwest national laboratory,116,Pacific Northwest National Laboratory,46.34770818,-119.27561190000002,Suman Samantray; Shuang Xu; Jian Liu; Satish Nune; Baraa Werghi
texas tech university,112,Texas Tech University,33.5937526,-101.8995955,Mahdi Malmali; Fouzia Nowrin; Moein Hajian Z.D.; Stefano Ciannella; Gift Modekwe
johns hopkins university,110,Johns Hopkins University,39.2890348,-76.6431253111111,Preetika Karnal; Thi Vo; Aira Sarkar; Anastasia Georgiou; Brandon C. Bukowski
mars  inc,110,mars  inc,,,Allison Lin; Harold Schmitz
indian institute of technology bombay,110,Indian Institute of Technology Bombay,19.1326186,72.9149702,Hrishi Singh; Lokesh Venkatesh Babu; Rahul Yadav; Vidhya Vijaykumar; Puneet Koli
arizona state university,108,Arizona State University,33.422653833333335,-111.96481396666668,Dharneedar Ravichandran; Lindsey Hamblin; Steven Wilson; Daniel Rivera; Jayni Hashimoto
tsinghua university,108,Tsinghua university,40.0022905,116.320963,Yuting Wu; Qikun Hu; Qilu Wu; Jingyi Li; Helai Huang
columbia university in the city of new york,104,Columbia University in the City of New York,40.77400249166666,-73.95921585,Maninderjeet Singh; Soyoung Choi; Zihang Su; Amanda Whai Shin Ooi; Naz Pinar Taskiran
rensselaer polytechnic institute,104,Rensselaer Polytechnic Institute,42.7298969,-73.6796678,Ji-Young Kim; B. Wayne Bequette; Georges Belfort; Steven Cramer; Jonathan Dordick
indian institute of technology ropar,98,Indian Institute of Technology Ropar,30.9659501,76.4729772,Rohit Choudhury; Omkar Kushwaha; Anurag Pathak; Rajagopalan Srinivasan; Jagadeesh Korukonda
tufts university,94,tufts university,,,David L. Kaplan; Sanjana Gopalakrishnan; Logan Morton; Ho Yi Lam; Emmanuel Tzanakakis
national renewable energy laboratory,94,National Renewable Energy Laboratory,39.740915175,-105.183859375,Chae Jeong-Potter; Jeiwan Tan; Debjit Ghoshal; Daniyal Kiani; Arpit Bhatt
harvard university,94,Harvard University,42.364657,-71.11147818571428,Kimberly Bowal; Friedrich Stricker; Junzhe Lou; Thomas Y. George; Vinny Chandran Suja
cornell university,94,Cornell University,42.4529076,-76.4800842,Ruoxin Li; Shaoyi Jiang; Erica Wagner; Manish Kumar Das; Xin Wang
university of utah,92,University of Utah,40.7628137,-111.8368719,Luis Caballero; Seoyeon Won; Qian Zhou; Jiwei Yao; Sayed Abu Sufyan
university of virginia,92,University of Virginia,38.0410576,-78.5055084,Sugandha Verma; Gary Koenig; Carolyn Shurer; Elliot Brna; Phillip Taylor
university of california berkeley,92,University of California Berkeley,37.8671453125,-122.243397875,Shoichi Nishitani; Yifeng Shi; Natsumi Komatsu; Hao Yu; Nathanael Gardner
university of pennsylvania,88,University of Pennsylvania,39.951032575,-75.1815277,Owen Land; Kathleen J. Stebe; Shravan Pradeep; Christopher Browne; Yiming Wang
university of alberta,86,University of Alberta,53.52682000000001,-113.5244937,Shu-Bo Yang; Lu Zhang; Gwyneth Liske; Minjunshi Xie; Lian Duan
university of massachusetts amherst,82,University of Massachusetts Amherst,42.3875741,-72.5299209,Hannah Hargrove; Isaac Ramírez Marrero; Sarthak Saha; Omeet Patel; Seungbo Hong
university at buffalo  the state university of new york,82,university at buffalo  the state university of new york,,,Vinh Bui; Narjes Esmaeili; Krutika Patidar; Paschalis Alexandridis; Leiqing Hu
argonne national laboratory,76,Argonne National Laboratory,41.712022100000006,-87.97847346666667,Xiaoyu Wang; Ikenna Nlebedim; Seth Darling; Kwang Hoon Baek; Doris Oke
eth zürich,76,ETH Zürich,47.413218,8.5374914,Daniel Biri; Adrien Baut; Dimitrios Tsalikis; Oscar Cipolato; Andreas Guentner
university of south carolina,74,University of South Carolina,33.9928841,-81.0268676,Mubarak Bello; Monirosadat Sadati; Zhenmeng Peng; Azadeh Mehrani; Kanan Shikhaliyev
university of kentucky,74,University of Kentucky,38.0266291,-84.5047222,Pranto Paul; Jamie Ahmed; Angela Gutierrez; Stephen Rankin; Maria Victoria Ximenes Klaus
washington university in st louis,74,Washington University in St Louis,38.640798588888885,-90.28978154444444,Kaiying Wang; Jinghao Li; LE Zhou; Manjula Senanayake; Joshua Yuan
university of illinois at urbana-champaign,74,university of illinois at urbana-champaign,,,Tianhao Yu; Somesh Mishra; Baron Peters; Zhiheng Lyu; Shraddha Maitra
university college london,70,university college london,,,Marc-Olivier Coppens; Lucy Todd; Nidhi Kapil; Vassilis Charitopoulos; Suneha Patil
worcester polytechnic institute,70,Worcester Polytechnic Institute,42.2893383,-71.805867725,David Kenney; Esai Lopez; Madison R. Reed; Fatou Baka Diop; Michael Timko
wayne state university,68,Wayne State University,42.3571895,-83.0709436,Keshav Kasturi Rangan; Abdurrafay Siddiqui; Shilpa Narasimhan; Alexander Hoffmann; Jihan Abou Halloun
the university of sheffield,68,The University of Sheffield,53.37781046,-1.49144162,Siddharth Patwardhan; Jenny Hancock; Rachael Rothman; Ioanna Kalospyrou; Mohamed Ashar Sultan Mohamed Yousuf
vanderbilt university,68,Vanderbilt University,36.1438011,-86.8028189,Matthew Vasuta; Andres Ordorica; Piran Kidambi; Juliana Yang; Zane Parkerson
new jersey institute of technology,68,New Jersey Institute of Technology,40.75033943333333,-74.18431020000001,Siddharth Tripathi; Anh Vo; Murat Guvendiren; Ecevit Bilgili; Piero Armenante
university of washington,66,University of Washington,47.6554303,-122.3001692,Nuo Xu; Shayna Hilburg; Shunzhi Wang; Gabrielle Balistreri; Cholpisit Kiattisewee
zhejiang university,66,Zhejiang university,30.521595,120.7195312,Shuyi Shen; Bin Yang; Yao Tong; Xing Gao; Xinpei Wang
lawrence berkeley national laboratory,66,lawrence berkeley national laboratory,,,Alex J. King; Supriya Gupta; Brett A. Helms; Andrew W. Tricker; Julian Vigil
virginia tech,66,virginia tech,,,Thomas Kinard; Xakin Ramirez Isunza; Adam McNeeley; Connor Farrell; Xin Wang
king fahd university of petroleum and minerals,64,King Fahd University of Petroleum and Minerals,26.30948538,50.14682478,Fatimah Alhassan; Muhammad Shahzad Kamal; Abdullah Alabbad; Usama Ahmed; Mohammad Siddiqui
university of missouri,64,University of Missouri,38.9364147,-92.329703,Jialun (Galen) Wang; Baolin Deng; Umesh Dhumal; Tahmid Hasan Rupam; Gesse Roure
university of california santa barbara,64,University of California Santa Barbara,34.41480948,-119.84491292,Rahul Sujanani; Hugh Purdy; Christopher Balzer; R Bharath Venkatesh; Guomin Zhu
khalifa university,64,Khalifa University,24.4479513,54.3955267,Solomon Kahsay Gebremariam; Muhammad Usman; Amanuel Gidey Gebretatios; Tarek Lemaoui; Ahmed AlHajaj
case western reserve university,62,Case Western Reserve University,41.50198515,-81.63789464999999,Nicholas Sinclair; Svetlana Morozova; Samuel Root; Lianna Johnson; Geeta Verma
louisiana state university,60,Louisiana State University,30.4062005,-91.1854129,Teslim Olayiwola; Nduka Ogbonna; Hashir Gauri; Chamberlain Amofa; Yaxin An
university of illinois urbana-champaign,60,university of illinois urbana-champaign,,,Chia-Wen Chang; Jonathan Turnley; Matthew Confer; Kyle Timmer; Alexa Kuenstler
