mapped,count,label,latitude,longitude,top_authors
massachusetts institute of technology,118,massachusetts institute of technology,,,William Green; Jiale Shi; Jonathan Zheng; Chao-Lun Mai; Gregory Stephanopoulos
georgia institute of technology,99,Georgia Institute of Technology,33.7663996,-84.3986866,Pankaj Rohilla; Ravindra Kane; Akriti Sarswat; Julie Champion; Marta Hatzell
purdue university,85,Purdue University,40.430028,-86.9264211,Sana Khanum; David E. Bernal Neira; Shuaikang Du; Montgomery Laky; Yash Barhate
texas aandm university,85,Texas A&M University,30.6108618,-96.3520606,Shayan Niknezhad; Ahmed Badreldin; Chi-Ho Lee; Yashwanth Arcot; Dinesh Sundaravadivelu Devarajan
university of michigan,80,University of Michigan,42.2942142,-83.7100389,Omolola Eniola-Adefeso; Zhiqiang Shen; Nicholas Kotov; Vallabh Vasudevan; Rebecca Lindsey
university of california los angeles,62,University of California Los Angeles,34.05998905,-118.4310129,Zisheng Zhang; Alaina Levine; Avishek Banerjee; Xintong Yuan; Ning Zhang
north carolina state university,61,North Carolina State University,35.763836575,-78.674785875,Sina Jamalzadegan; Kunran Yang; Abhirup Basu; Michael Bergman; Seyedamin Razavi
northwestern university,61,Northwestern University,42.02743245,-87.66633245,Rong Xia; Subhajyoti Chaudhuri; Filip Formalik; Milad Ahmadi Khoshooei; Geunho Han
the ohio state university,60,The Ohio State University,40.0056802,-83.0286612,Tanay Jawdekar; Venkata Rohit Punyapu; Sudeshna Gun; Shekhar Shinde; Akshay Kudva
stanford university,60,Stanford University,37.41550242,-122.09825894,Dorothy Mantle; Jonathan Fan; Ezgi Erdem; Michael Burroughs; Gang Wan
university of delaware,56,University of Delaware,39.6803338,-75.7530749,LaShanda Korley; Alex Balzer; Ali Kamali; Aida López Ruiz; George Yan
princeton university,54,Princeton University,40.34418525,-74.65905155,Shengli Jiang; Samuel C. Moore; Yiteng Zheng; Yaguang Zhu; Ka-Hei Siu
imperial college london,53,Imperial College London,51.51618432222222,-0.1354536555555555,Shakeel Ramjanee; Andrea Galeazzi; Deniz Etit; Haiting Wang; Paola Alejandra Saenz Cavazos
university of alabama,49,University of Alabama,33.2136006,-87.54399920000002,Atta Ur Razzaq; Feranmi Olowookere; Medha Kasula; Tristan Maxson; Ashish Srivastava
west virginia university,48,West Virginia University,39.6348397,-79.9542095,Stephen Summits; Poulomi Das; Nishant Vinayak Giridhar; Austin Braniff; Vivek Saini
university of houston,46,University of Houston,29.715084,-95.38222913333334,Zhiyin Niu; Dipayan Chakraborty; Kumari Shilpa; Chenfeng Huang; Muhammad Fiji Firdaus
university of colorado boulder,46,University of Colorado Boulder,40.00720174,-105.26747228,Anni Shi; Nathanael Schwindt; Hussain Almajed; Georgios Tseropoulos; Monica Ohnsorg
university of kansas,45,University of Kansas,38.9535052,-95.2630922,Abdulrhman Arishi; Kayla Foley; Andrew Yancey-Jardon; Estephanie Nottar Escobar; Chidambaram Thamaraiselvan
university of texas at austin,43,University of Texas at Austin,30.2851494,-97.7339352,Gabriel Sanoja; Rachel Huang; Mariam Balogun; Woo Je Chang; Ilias Mitrai
