mapped,count,label,latitude,longitude,top_authors
massachusetts institute of technology,267,massachusetts institute of technology,,,Richard Braatz; Guiyan Zang; Allan Myerson; Michael Strano; Haoxiang Lai
georgia institute of technology,222,Georgia Institute of Technology,33.7663996,-84.3986866,Ryan Lively; Matthew Realff; Carsten Sievers; Pankaj Rohilla; Akriti Sarswat
texas aandm university,190,Texas A&M University,30.6108618,-96.3520606,Efstratios Pistikopoulos; Joseph Kwon; Shayan Niknezhad; Jeetain Mittal; Faisal Khan
stanford university,171,Stanford University,37.41550242,-122.09825894,Thomas Jaramillo; Jonathan Fan; Zhennan Ru; Chenghao Wan; Calvin Lin
university of michigan,170,University of Michigan,42.2942142,-83.7100389,Omolola Eniola-Adefeso; Rebecca Lindsey; Sharon C. Glotzer; Albert Liu; Nicholas A. Kotov
purdue university,167,Purdue University,40.430028,-86.9264211,David E. Bernal Neira; Rakesh Agrawal; Zoltan Nagy; Zoltan K. Nagy; Doraiswami Ramkrishna
northwestern university,158,Northwestern University,42.02743245,-87.66633245,Linda Broadbelt; John Torkelson; Randall Snurr; Rong Xia; Filip Formalik
north carolina state university,142,North Carolina State University,35.763836575,-78.674785875,Lilian Hsiao; Fanxing Li; Qingshan Wei; Sunkyu Park; Milad Abolhasani
the ohio state university,138,The Ohio State University,40.0056802,-83.0286612,Liang-Shih Fan; Joel Paulson; Sonu Kumar; Sudeshna Gun; Tanay Jawdekar
harvard university,135,Harvard University,42.364657,-71.11147818571428,Vinny Chandran Suja; Samir Mitragotri; Joanna Aizenberg; Kimberly Bowal; Friedrich Stricker
university of delaware,131,University of Delaware,39.6803338,-75.7530749,Dionisios Vlachos; LaShanda Korley; Marianthi Ierapetritou; Arthi Jayaraman; Norman J. Wagner
princeton university,127,Princeton University,40.34418525,-74.65905155,Michele Sarazen; Michael Webb; Shengli Jiang; Alejandro Martinez-Calvo; Christos Maravelias
university of colorado boulder,120,University of Colorado Boulder,40.00720174,-105.26747228,Alan Weimer; Kristi Anseth; Kent J. Warren; Anni Shi; Kayla G. Sprenger
university of california los angeles,119,University of California Los Angeles,34.05998905,-118.4310129,Carlos Morales-Guio; Panagiotis Christofides; Ah-Hyung Alissa Park; Philippe Sautet; Anastassia Alexandrova
pacific northwest national laboratory,114,Pacific Northwest National Laboratory,46.34770818,-119.27561190000002,Simone Raugei; Yuan Jiang; Suman Samantray; Bojana Ginovska-Pangovska; David Heldebrant
university of texas at austin,114,University of Texas at Austin,30.2851494,-97.7339352,Benny Freeman; Joan Brennecke; Delia Milliron; Jay Bender; Joaquin Resasco
imperial college london,108,Imperial College London,51.51618432222222,-0.1354536555555555,Antonio del Rio Chanona; Maria Papathanasiou; Cleo Kontoravdi; Nilay Shah; Jerry Heng
"university of wisconsin-madison, madison",100,"University of Wisconsin-Madison, Madison",43.07970709,-89.43061513,Reid Van Lehn; Victor M. Zavala; George W Huber; Marcel Schreier; Unni Kurumbail
iowa state university,99,Iowa State University,42.033054325,-93.62842245,Mark Mba Wright; Luke T. Roling; Deep M. Patel; Zengyi Shao; Xianglan Bai
university of florida,99,University of Florida,29.6411884,-82.3562296,Janani Sampath; David Hibbitts; Henry Chu; Whitney Stoppel; Sergey Vasenkov
cornell university,98,Cornell University,42.4529076,-76.4800842,Shaoyi Jiang; Qiuming Yu; Wenchao Gu; Sijin Luozhong; Fengqi You
university of kansas,93,University of Kansas,38.9535052,-95.2630922,Mark B. Shiflett; Aaron M. Scurto; Ranil Wickramasinghe; Keisha Walters; David R. Corbin
"merck and co., inc.",93,"Merck & Co., Inc.",40.21103505,-75.3003919,Jonathan McMullen; Dan Lehnherr; Kevin Stone; Luke Schenck; Erin Kotzbauer
johns hopkins university,93,Johns Hopkins University,39.2890348,-76.6431253111111,Jamie Spangler; Ioannis Kevrekidis; Anastasia Georgiou; Brandon C. Bukowski; Michael Tsapatsis
university of alabama,92,University of Alabama,33.2136006,-87.54399920000002,Milad Esfahani; Jason Bara; James D. Sheehan; Tibor Szilvasi; Medha Kasula
oak ridge national laboratory,92,Oak Ridge National Laboratory,35.9301332,-84.3119307,David Sholl; Blake Billings; Ramesh Bhave; Syed Islam; Costas Tsouris
university of houston,91,University of Houston,29.715084,-95.38222913333334,Jeffrey Rimer; Praveen Bollini; Zhiyin Niu; Kumari Shilpa; Mehmet Orman
university of minnesota twin cities,90,University of Minnesota Twin Cities,44.98228161428572,-93.1951990857143,Qi Zhang; Prodromos Daoutidis; Shri Ramaswamy; Hua-jiang Huang; Christopher Ellison
carnegie mellon university,89,carnegie mellon university,,,Ignacio Grossmann; John Kitchin; Grigorios Panagakos; Lorenz Biegler; Janghoon Ock
auburn university,86,Auburn University,32.5919528,-85.4959775,Christopher Kieslich; Q. Peter He; Jin Wang; Atefe Alimirzaei; Hyeju Song
university of notre dame,86,University of Notre dame,41.701515725,-86.23799269999999,Alexander Dowling; Hsueh-Chia Chang; Edward Maginn; William Phillip; Yichun Wang
pennsylvania state university,85,Pennsylvania State University,40.8025835,-77.8559383,Michael Janik; Amir Sheikhi; Costas D. Maranas; Robert Rioux; Konstantinos Alexopoulos
university of california san diego,82,University of California San Diego,32.87783769999999,-117.22710246666666,Benjamin Lam; Shakti Gupta; Mano Maurya; Shankar Subramaniam; Yanran Li
university of california berkeley,80,University of California Berkeley,37.8671453125,-122.243397875,Alexis T. Bell; Shoichi Nishitani; Markita Landry; Ali Mesbah; Yifeng Shi
columbia university in the city of new york,78,Columbia University in the City of New York,40.77400249166666,-73.95921585,Venkat Venkatasubramanian; Arijit Chakraborty; Maninderjeet Singh; Soyoung Choi; Christopher Boyce
west virginia university,77,West Virginia University,39.6348397,-79.9542095,Debangsu Bhattacharyya; Jianli Hu; Yuhe Tian; Fernando Lima; Beatriz Dantas
texas tech university,75,Texas Tech University,33.5937526,-101.8995955,Mahdi Malmali; Jenifer Gomez Pastora; Chau-Chyun Chen; Joshua Howe; Fouzia Nowrin
university of virginia,75,University of Virginia,38.0410576,-78.5055084,Christopher Paolucci; Sugandha Verma; Gaurav Giri; Asanka Wijerathne; Geoffrey Geise
university of connecticut,75,University of Connecticut,41.8111114,-72.2483889,Burcu Beykal; George Bollas; Jeffrey McCutcheon; Zahir Aghayev; Bodhisattwa Chaudhuri
argonne national laboratory,75,Argonne National Laboratory,41.712022100000006,-87.97847346666667,Amgad Elgowainy; Pingping Sun; Meltem Urgun-Demirtas; Kwang Hoon Baek; Michael Servis
tsinghua university,73,Tsinghua university,40.0022905,116.320963,Zhiqiang Niu; Zhihong Yuan; Yi Cheng; Congqin Ge; Jinsong Zhao
national renewable energy laboratory,72,National Renewable Energy Laboratory,39.740915175,-105.183859375,Chae Jeong-Potter; Daniel Ruddy; Hari Sitaraman; Jeiwan Tan; Anh To
florida institute of technology,71,Florida Institute of Technology,28.064271,-80.623004,Toufiq Reza; Zhen-Gang Wang; Pierre Walker; Karthish Manthiram; Tridip Das
the dow chemical company,68,The Dow Chemical Company,40.1633941,-75.4651946,Kathryn Grzesiak; Nathan Wilmot; Daniel Miller; Steven G. Arturo; Jonathan Moore
university of washington,66,University of Washington,47.6554303,-122.3001692,Elizabeth Nance; Brendan Butler; Nicholas Kaplan; Jorge A. Marchand; Nuo Xu
"university of pittsburgh, johnstown",65,"University of Pittsburgh, Johnstown",40.2667709,-78.8278635,Karl Johnson; Priyanka Bholanath Shukla; Siddarth Achar; Yihan Song; Aaditya Hari Bharanidharan
arizona state university,64,Arizona State University,33.422653833333335,-111.96481396666668,Matthew D. Green; Klaus S. Lackner; Dharneedar Ravichandran; Lindsey Hamblin; Kaushal Rege
university of oklahoma,63,University of Oklahoma,35.1959878,-97.4457083,Steven Crossley; Laura Alejandra Gomez Gomez; Reza Foudazi; Bin Wang; Alberto Striolo
national energy technology laboratory,62,national energy technology laboratory,,,Benjamin P. Omell; Lingxiang Zhu; Congjun Wang; Victor A. Kusuma; Deepak Tapriyal
university of massachusetts amherst,61,University of Massachusetts Amherst,42.3875741,-72.5299209,Dimitrios Maroudas; Isaac Ramírez Marrero; Sarah Perry; Scott M. Auerbach; Wei Fan
university of kentucky,60,University of Kentucky,38.0266291,-84.5047222,J. Zach Hilt; Pranto Paul; Stephen Rankin; Jamie Ahmed; Maria Victoria Ximenes Klaus
national university of singapore,59,National University of Singapore,1.2966282999999998,103.77749186,Jianwen Jiang; Zhe Wu; Lei Wang; Chi-Hwa Wang; Yuming Wen
university of utah,59,University of Utah,40.7628137,-111.8368719,Huanan Zhang; Kevin Whitty; Luis Caballero; Michael Nigra; Seoyeon Won
lawrence berkeley national laboratory,58,lawrence berkeley national laboratory,,,Adam Z. Weber; Alex J. King; Brett A. Helms; Supriya Gupta; Xiong Peng
"university of california, riverside",58,"University of California, Riverside",33.9642576,-117.3398097,Jianzhong Wu; Monica Iepure; Younjin Min; Juchen Guo; Kathryn Uhrich
indian institute of technology ropar,57,Indian Institute of Technology Ropar,30.9659501,76.4729772,Rajagopalan Srinivasan; Rohit Choudhury; Vinod Janardhanan; Rajnish Kumar; Subramaniam Pushpavanam
"university of california, irvine",57,"University of California, Irvine",33.653261171428575,-117.83812945714286,Han Wang; Ben Ko; Erdem Sasmaz; Elizabeth Lee; Han Li
washington university in st louis,56,Washington University in St Louis,38.640798588888885,-90.28978154444444,Joshua Yuan; Marcus Foston; Tae Seok Moon; Jinghao Li; Fuzhong Zhang
trine university,55,Trine University,41.6311141,-85.0105982,Haotian Wang; Rafael Verduzco; Sarah Adaryan; Walter Chapman; Thiago Jose Pinheiro Dos Santos
university of california santa barbara,55,University of California Santa Barbara,34.41480948,-119.84491292,Bradley F. Chmelka; Michelle O'Malley; Rahul Sujanani; Mengyang Gu; Hugh Purdy
university of south carolina,55,University of South Carolina,33.9928841,-81.0268676,Jochen Lauterbach; Andreas Heyden; Monirosadat Sadati; Mubarak Bello; Olajide Bamidele
university of pennsylvania,54,University of Pennsylvania,39.951032575,-75.1815277,Daeyeon Lee; Kathleen J. Stebe; Warren Seider; Owen Land; Jason Marmorstein
university of illinois at urbana-champaign,54,university of illinois at urbana-champaign,,,Baron Peters; Tianhao Yu; Somesh Mishra; Jiankai Ge; Huimin Zhao
colorado school of mines,53,colorado school of mines,,,J. Douglas Way; Colin Wolden; Tsung Wei Liu; Nolan Kelley; Joseph Samaniuk
new jersey institute of technology,51,New Jersey Institute of Technology,40.75033943333333,-74.18431020000001,Samaneh Farokhirad; Fatemeh Ahmadpoor; Ecevit Bilgili; Siddharth Tripathi; Rajesh Dave
lehigh university,51,Lehigh University,40.6068028,-75.3782488,Elsa Reichmanis; James Gilchrist; Jiajie Li; Myeongyeon Lee; Mengting Sun
sandia national laboratories,51,Sandia National Laboratories,37.688589533333335,-121.7401623,Carl Laird; Rekha Rao; Matthew S. Johnson; Christine Cardinal Roberts; Helen Cleaves
indian institute of technology bombay,51,Indian Institute of Technology Bombay,19.1326186,72.9149702,Jyoti Seth; Hrishi Singh; Rajdip Bandyopadhyaya; Vinay Juvekar; Jhumpa Adhikari
eth zürich,50,ETH Zürich,47.413218,8.5374914,Marco Mazzotti; Gonzalo Guillen-Gosalbez; Dimitrios Tsalikis; Oscar Cipolato; Daniel Biri
university of chicago,50,university of chicago,,,Andrew Ferguson; Juan J. de Pablo; Chibueze Amanchukwu; Ritesh Kumar; Christopher Arges
