mapped,count,label,latitude,longitude,top_authors
not found,233,not found,,,Not found
massachusetts institute of technology,210,massachusetts institute of technology,,,Richard Braatz; Guiyan Zang; Allan Myerson; Michael Strano; Haoxiang Lai
georgia institute of technology,150,Georgia Institute of Technology,33.7663996,-84.3986866,Ryan Lively; Matthew Realff; Carsten Sievers; Pankaj Rohilla; Akriti Sarswat
texas aandm university,149,Texas A&M University,30.6108618,-96.3520606,Efstratios Pistikopoulos; Joseph Kwon; Shayan Niknezhad; Jeetain Mittal; Faisal Khan
purdue university,149,Purdue University,40.430028,-86.9264211,David E. Bernal Neira; Rakesh Agrawal; Zoltan Nagy; Zoltan K. Nagy; Doraiswami Ramkrishna
stanford university,117,Stanford University,37.41550242,-122.09825894,Thomas Jaramillo; Jonathan Fan; Zhennan Ru; Chenghao Wan; Calvin Lin
university of michigan,115,University of Michigan,42.2942142,-83.7100389,Omolola Eniola-Adefeso; Rebecca Lindsey; Sharon C. Glotzer; Albert Liu; Nicholas A. Kotov
the ohio state university,113,The Ohio State University,40.0056802,-83.0286612,Liang-Shih Fan; Joel Paulson; Sonu Kumar; Sudeshna Gun; Tanay Jawdekar
northwestern university,99,Northwestern University,42.02743245,-87.66633245,Linda Broadbelt; John Torkelson; Randall Snurr; Rong Xia; Filip Formalik
university of california los angeles,98,University of California Los Angeles,34.05998905,-118.4310129,Carlos Morales-Guio; Panagiotis Christofides; Ah-Hyung Alissa Park; Philippe Sautet; Anastassia Alexandrova
imperial college london,95,Imperial College London,51.51618432222222,-0.1354536555555555,Antonio del Rio Chanona; Maria Papathanasiou; Cleo Kontoravdi; Nilay Shah; Jerry Heng
princeton university,91,Princeton University,40.34418525,-74.65905155,Michele Sarazen; Michael Webb; Shengli Jiang; Alejandro Martinez-Calvo; Christos Maravelias
north carolina state university,88,North Carolina State University,35.763836575,-78.674785875,Lilian Hsiao; Fanxing Li; Qingshan Wei; Sunkyu Park; Milad Abolhasani
university of delaware,86,University of Delaware,39.6803338,-75.7530749,Dionisios Vlachos; LaShanda Korley; Marianthi Ierapetritou; Arthi Jayaraman; Norman J. Wagner
university of colorado boulder,84,University of Colorado Boulder,40.00720174,-105.26747228,Alan Weimer; Kristi Anseth; Kent J. Warren; Anni Shi; Kayla G. Sprenger
university of alabama,82,University of Alabama,33.2136006,-87.54399920000002,Milad Esfahani; Jason Bara; James D. Sheehan; Tibor Szilvasi; Medha Kasula
university of houston,81,University of Houston,29.715084,-95.38222913333334,Jeffrey Rimer; Praveen Bollini; Zhiyin Niu; Kumari Shilpa; Mehmet Orman
pennsylvania state university,80,Pennsylvania State University,40.8025835,-77.8559383,Michael Janik; Amir Sheikhi; Costas D. Maranas; Robert Rioux; Konstantinos Alexopoulos
university of kansas,76,University of Kansas,38.9535052,-95.2630922,Mark B. Shiflett; Aaron M. Scurto; Ranil Wickramasinghe; Keisha Walters; David R. Corbin
carnegie mellon university,76,carnegie mellon university,,,Ignacio Grossmann; John Kitchin; Grigorios Panagakos; Lorenz Biegler; Janghoon Ock
west virginia university,76,West Virginia University,39.6348397,-79.9542095,Debangsu Bhattacharyya; Jianli Hu; Yuhe Tian; Fernando Lima; Beatriz Dantas
"university of wisconsin-madison, madison",72,"University of Wisconsin-Madison, Madison",43.07970709,-89.43061513,Reid Van Lehn; Victor M. Zavala; George W Huber; Marcel Schreier; Unni Kurumbail
university of minnesota twin cities,72,University of Minnesota Twin Cities,44.98228161428572,-93.1951990857143,Qi Zhang; Prodromos Daoutidis; Shri Ramaswamy; Hua-jiang Huang; Christopher Ellison
university of texas at austin,69,University of Texas at Austin,30.2851494,-97.7339352,Benny Freeman; Joan Brennecke; Delia Milliron; Jay Bender; Joaquin Resasco
university of notre dame,69,University of Notre dame,41.701515725,-86.23799269999999,Alexander Dowling; Hsueh-Chia Chang; Edward Maginn; William Phillip; Yichun Wang
florida institute of technology,66,Florida Institute of Technology,28.064271,-80.623004,Toufiq Reza; Zhen-Gang Wang; Pierre Walker; Karthish Manthiram; Tridip Das
university of florida,60,University of Florida,29.6411884,-82.3562296,Janani Sampath; David Hibbitts; Henry Chu; Whitney Stoppel; Sergey Vasenkov
iowa state university,59,Iowa State University,42.033054325,-93.62842245,Mark Mba Wright; Luke T. Roling; Deep M. Patel; Zengyi Shao; Xianglan Bai
pacific northwest national laboratory,58,Pacific Northwest National Laboratory,46.34770818,-119.27561190000002,Simone Raugei; Yuan Jiang; Suman Samantray; Bojana Ginovska-Pangovska; David Heldebrant
oak ridge national laboratory,57,Oak Ridge National Laboratory,35.9301332,-84.3119307,David Sholl; Blake Billings; Ramesh Bhave; Syed Islam; Costas Tsouris
johns hopkins university,57,Johns Hopkins University,39.2890348,-76.6431253111111,Jamie Spangler; Ioannis Kevrekidis; Anastasia Georgiou; Brandon C. Bukowski; Michael Tsapatsis
auburn university,56,Auburn University,32.5919528,-85.4959775,Christopher Kieslich; Q. Peter He; Jin Wang; Atefe Alimirzaei; Hyeju Song
university of california berkeley,55,University of California Berkeley,37.8671453125,-122.243397875,Alexis T. Bell; Shoichi Nishitani; Markita Landry; Ali Mesbah; Yifeng Shi
columbia university in the city of new york,54,Columbia University in the City of New York,40.77400249166666,-73.95921585,Venkat Venkatasubramanian; Arijit Chakraborty; Maninderjeet Singh; Soyoung Choi; Christopher Boyce
"university of pittsburgh, johnstown",53,"University of Pittsburgh, Johnstown",40.2667709,-78.8278635,Karl Johnson; Priyanka Bholanath Shukla; Siddarth Achar; Yihan Song; Aaditya Hari Bharanidharan
national university of singapore,52,National University of Singapore,1.2966282999999998,103.77749186,Jianwen Jiang; Zhe Wu; Lei Wang; Chi-Hwa Wang; Yuming Wen
texas tech university,51,Texas Tech University,33.5937526,-101.8995955,Mahdi Malmali; Jenifer Gomez Pastora; Chau-Chyun Chen; Joshua Howe; Fouzia Nowrin
university of connecticut,51,University of Connecticut,41.8111114,-72.2483889,Burcu Beykal; George Bollas; Jeffrey McCutcheon; Zahir Aghayev; Bodhisattwa Chaudhuri
trine university,50,Trine University,41.6311141,-85.0105982,Haotian Wang; Rafael Verduzco; Sarah Adaryan; Walter Chapman; Thiago Jose Pinheiro Dos Santos
university of chicago,50,university of chicago,,,Andrew Ferguson; Juan J. de Pablo; Chibueze Amanchukwu; Ritesh Kumar; Christopher Arges
university of california san diego,49,University of California San Diego,32.87783769999999,-117.22710246666666,Benjamin Lam; Shakti Gupta; Mano Maurya; Shankar Subramaniam; Yanran Li
tsinghua university,49,Tsinghua university,40.0022905,116.320963,Zhiqiang Niu; Zhihong Yuan; Yi Cheng; Congqin Ge; Jinsong Zhao
national energy technology laboratory,48,national energy technology laboratory,,,Benjamin P. Omell; Lingxiang Zhu; Congjun Wang; Victor A. Kusuma; Deepak Tapriyal
