label,A_sep,A_uniq,B_authors,C_abstracts
not found,838,1,1,233
massachusetts institute of technology,580,118,267,210
Purdue University,358,85,167,149
Texas A&M University,356,85,190,149
Georgia Institute of Technology,346,99,222,150
University of Michigan,288,80,170,115
Stanford University,274,60,171,117
The Ohio State University,272,60,138,113
Imperial College London,234,53,108,95
Princeton University,224,54,127,91
University of California Los Angeles,220,62,119,98
University of Alabama,214,49,92,82
University of Houston,212,46,91,81
Northwestern University,206,61,158,99
North Carolina State University,206,61,142,88
carnegie mellon university,198,42,89,76
West Virginia University,184,48,77,76
Pennsylvania State University,184,41,85,80
University of Delaware,172,56,131,86
University of Colorado Boulder,172,46,120,84
University of Minnesota Twin Cities,158,40,90,72
University of Notre dame,156,39,86,69
University of Texas at Austin,154,43,114,69
University of Kansas,152,45,93,76
"University of Pittsburgh, Johnstown",150,26,65,53
Iowa State University,142,42,99,59
Auburn University,142,41,86,56
University of Illinois Chicago,138,21,45,45
University of Florida,136,41,99,60
"University of Wisconsin-Madison, Madison",136,35,100,72
University of Connecticut,126,38,75,51
Trine University,126,29,55,50
National University of Singapore,122,28,59,52
University of Oklahoma,120,33,63,48
Florida Institute of Technology,120,25,71,66
university of chicago,120,25,50,50
University of California San Diego,116,30,82,49
Pacific Northwest National Laboratory,116,28,114,58
Texas Tech University,112,34,75,51
Johns Hopkins University,110,38,93,57
Indian Institute of Technology Bombay,110,28,51,35
mars  inc,110,2,2,2
Tsinghua university,108,37,73,49
Arizona State University,108,26,64,46
Columbia University in the City of New York,104,32,78,54
Rensselaer Polytechnic Institute,104,14,23,16
Indian Institute of Technology Ropar,98,23,57,37
Harvard University,94,31,135,34
Cornell University,94,28,98,46
National Renewable Energy Laboratory,94,25,72,47
tufts university,94,13,29,16
University of Virginia,92,33,75,46
University of California Berkeley,92,27,80,55
University of Utah,92,21,59,39
University of Pennsylvania,88,22,54,36
University of Alberta,86,26,44,40
University of Massachusetts Amherst,82,24,61,41
university at buffalo  the state university of new york,82,16,35,33
Argonne National Laboratory,76,19,75,47
ETH Zürich,76,15,50,33
University of Kentucky,74,26,60,37
Washington University in St Louis,74,23,56,39
University of South Carolina,74,17,55,38
university of illinois at urbana-champaign,74,16,54,33
university college london,70,16,44,27
Worcester Polytechnic Institute,70,13,36,23
New Jersey Institute of Technology,68,23,51,32
Vanderbilt University,68,17,43,27
The University of Sheffield,68,13,32,20
Wayne State University,68,12,19,26
University of Washington,66,23,66,31
Zhejiang university,66,16,38,20
lawrence berkeley national laboratory,66,15,58,32
virginia tech,66,15,40,30
University of California Santa Barbara,64,18,55,38
King Fahd University of Petroleum and Minerals,64,14,29,21
University of Missouri,64,13,33,27
Khalifa University,64,10,34,23
Case Western Reserve University,62,15,40,24
Oak Ridge National Laboratory,60,24,92,57
university of illinois urbana-champaign,60,17,47,43
Louisiana State University,60,16,34,32
yale university,60,13,38,25
University of North Dakota,60,11,18,20
"University of California, Riverside",58,21,58,33
Indian Institute of Technology Jammu,58,18,37,22
Korea Advanced Institute of Science and Technology,58,17,41,26
Rowan University,58,15,43,23
biomade,58,1,1,2
University of Rochester,56,21,41,28
Oregon State University,56,20,48,25
colorado school of mines,56,19,53,29
Tulane University,56,19,38,24
Oklahoma State University,56,18,41,24
University of Tennessee,56,11,42,26
HAX,56,1,1,1
Twelve,56,1,1,1
orbillion bio  inc,56,1,1,1
the better meat co,56,1,1,1
The Dow Chemical Company,54,17,68,27
Dalian University of Technology,54,17,48,26
Qatar University,54,14,32,17
University of Toronto,54,11,28,22
Lehigh University,52,22,51,33
"Merck & Co., Inc.",52,18,93,28
drexel university,52,16,25,19
national energy technology laboratory,52,15,62,48
University at Buffalo,52,15,41,35
university of nebraska-lincoln,50,15,33,25
Clemson University,50,11,28,22
University of California Davis,48,17,36,26
"University of California, Irvine",48,16,57,30
Indian Institute of Technology Delhi,48,8,16,17
University of Iowa,46,10,22,18
Kansas State University,46,10,18,21
stevens institute of technology,46,8,11,18
University of Tulsa,42,16,28,19
University of Massachusetts Lowell,42,15,41,20
Stony Brook University,42,15,40,28
rutgers  the state university of new jersey,42,11,27,21
Korea University,42,11,19,15
Lamar University,42,8,19,16
Bucknell University,40,16,20,16
Eli Lilly & Company,40,14,37,19
Michigan Technological University,40,9,28,14
Nanyang Technological University,40,8,24,20
University of South Florida,38,13,42,20
GSK,38,9,29,11
Los Alamos National Laboratory,38,8,37,20
University of Southern California,36,14,27,20
Idaho National Laboratory,36,12,42,24
Brown University,36,11,36,23
Dow,36,8,24,15
netl support contractor,36,8,19,17
Michigan State University,34,12,37,17
king abdullah university of science and technology,34,11,25,17
The University of Kansas,34,10,22,21
University of Waterloo,34,8,21,14
south dakota school of mines and technology,34,8,16,13
abbvie inc,34,5,29,13
Virginia Commonwealth University,32,12,33,16
University of New Hampshire,32,11,18,14
Korean Institute Science and Technology,32,10,21,16
Universidad Nacional de Colombia,32,10,17,9
lawrence livermore national laboratory,32,7,39,23
Brigham Young University,30,14,33,15
Lafayette College,30,14,30,15
rutgers university,30,10,26,16
University of Maryland-College Park,30,9,31,20
RWTH Aachen University,30,9,17,17
university of illinois at urbana champaign,30,8,28,12
Friedrich-Alexander-Universität Erlangen-Nürnberg,30,8,12,15
Inha University,30,7,13,12
Kent State University,28,9,20,18
McMaster University,28,9,20,12
Penn State College of Medicine,28,8,25,22
University of New Mexico,28,7,24,14
École Polytechnique Fédérale de Lausanne,28,6,20,14
Canakkale Onsekiz Mart Univ,28,5,5,4
National Institute of Standards and Technology,26,10,38,18
Ghent University,26,9,33,11
korea institute of energy research,26,7,40,10
slac national accelerator laboratory,26,7,24,31
Koc University,26,7,14,9
the city college of new york,26,6,14,13
harvard medical school,26,4,20,9
University of Rhode Island,24,10,24,12
University of Arizona,24,9,14,11
Sandia National Laboratories,24,8,51,34
new york university,24,8,25,17
Saudi Aramco,24,8,24,12
Missouri University of Science and Technology,24,8,11,11
AbbVie,24,7,22,16
Sungkyunkwan University,24,7,21,11
"Amgen, Inc.",24,7,19,6
University of Georgia,24,7,13,12
