affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
123zero d o o,,123zero d o o,,,unmapped,,[]
2  isis neutron and muon source,,2  isis neutron and muon source,,,unmapped,,[]
2  spx flow mixing solutions,,2  spx flow mixing solutions,,,unmapped,,[]
4  clayton high school  1 mark twain cir,,4  clayton high school  1 mark twain cir,,,unmapped,,[]
6786963773,,6786963773,,,unmapped,,[]
a star,,a star,,,unmapped,,[]
aaas nsf,,aaas nsf,,,unmapped,,[]
abbvie inc,,abbvie inc,,,suggested,,"[('abbvie', 0.75)]"
abu dhabi ports,,abu dhabi ports,,,suggested,,"[('abu dhabi university', 0.6857142857142857)]"
accenture,,accenture,,,unmapped,,[]
adam mickiewicz university  poznan  poland,,adam mickiewicz university  poznan  poland,,,unmapped,,[]
advanced cooling technologies  inc,,advanced cooling technologies  inc,,,suggested,,"[('aspen technology inc.', 0.5818181818181818)]"
advanced energy materials,,advanced energy materials,,,suggested,,"[('lubrizol advanced materials', 0.6923076923076923)]"
advanced science research center at the cuny graduate center,,advanced science research center at the cuny graduate center,,,unmapped,,[]
aecom,,aecom,,,unmapped,,[]
afton chemical corporation,,afton chemical corporation,,,suggested,,"[('eaton corporation', 0.7441860465116279), ('national chemical laboratory', 0.7037037037037037), ('dow chemical company', 0.6956521739130435), ('evonik corporation', 0.6818181818181818), ('the dow chemical company', 0.68)]"
agency for defence development,,agency for defence development,,,suggested,,"[('ministry of development', 0.6037735849056604)]"
agency for science  technology and research,,agency for science  technology and research,,,suggested,,"[('university of science and technology of china', 0.6363636363636364), ('university of science and technology', 0.6075949367088608)]"
agilent technologies,,agilent technologies,,,suggested,,"[('aspen technology inc.', 0.6829268292682927), ('freeman technology', 0.631578947368421), ('em ai technology', 0.6666666666666666)]"
ahmedabad univeristy,,ahmedabad univeristy,,,suggested,,"[('harvard university', 0.6842105263157895), ('lamar university', 0.7222222222222222), ('lakehead university', 0.7692307692307693), ('inha university', 0.6285714285714286), ('oakland university', 0.6842105263157895)]"
air force research laboratory,,air force research laboratory,,,suggested,,"[('army research lab', 0.6521739130434783), ('national renewable energy laboratory', 0.6153846153846154)]"
air products and chemicals,,air products and chemicals,,,suggested,,"[('air products', 0.631578947368421)]"
air products and chemicals  inc,,air products and chemicals  inc,,,unmapped,,[]
air products and chemicals inc,,air products and chemicals inc,,,unmapped,,[]
aix marseille univ,,aix marseille univ,,,unmapped,,[]
aix marseille university,,aix marseille university,,,suggested,,"[('lamar university', 0.75), ('mcgill university', 0.7317073170731707), ('aarhus university', 0.7317073170731707), ('cornell university', 0.7142857142857143), ('trine university', 0.65)]"
alexandria university,,alexandria university,,,suggested,,"[('oakland university', 0.8205128205128205), ('lund university', 0.7777777777777778), ('khalifa university', 0.7692307692307693), ('indiana university', 0.717948717948718), ('andrews university', 0.7692307692307693)]"
